case_id,evidence_role,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
normal_short_interval_drop,regression_only,fixture_011_normal_short_interval_drop,passed,r2_t02_oracle_normal_short_interval_drop,4,normal_short_interval_drop,normal_short_interval_drop,,badd39ed1af245011c411f9ca3c0fcc46b94a8a35557df358d4cced0d7ea757a,3,1,0,0
g0_no_merge_raw_false_exit,core_scientific_oracle,fixture_012_g0_no_merge_raw_false_exit,passed,r2_t02_oracle_g0_no_merge_raw_false_exit,11,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,d146ef9563d35f934895cd5c5d647df4abbdfb2cb01e519e43537fe9da768e44,8,2,2,2
g1_raw_false_success_merge,core_scientific_oracle,fixture_013_g1_raw_false_success_merge,passed,r2_t02_oracle_g1_raw_false_success_merge,12,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,c5d021b2f84980f504df0e6894f33679ca16d1fa1b0eead902bc1459f13be4bb,9,2,2,1
g1_fail_g2_success_g1,regression_only,fixture_014_g1_fail_g2_success_g1,passed,r2_t02_oracle_g1_fail_g2_success_g1,7,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,f2bcf29921055b5560c3c9882bfa0c5ac1006700903bf93eba5397881a35352c,8,2,2,2
g2_raw_false_success_merge,core_scientific_oracle,fixture_015_g2_raw_false_success_merge,passed,r2_t02_oracle_g2_raw_false_success_merge,12,sample_end_open_zone,sample_end_open_zone,,c61581fd4c43d5d6657ba165058471fa61c5ec3eeb3457c4a34169fd63917f87,9,2,2,1
raw_true_preconfirmation_does_not_reset_g,core_scientific_oracle,fixture_016_raw_true_preconfirmation_does_not_reset_g,passed,r2_t02_oracle_raw_true_preconfirmation_does_not_reset_g,10,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,5949f29770696a6d9fd7cb4bd18a9a25cf22fa511116bffd81fe3164a9fef863,8,2,2,2
g_plus_one_raw_false_irreversible_final,core_scientific_oracle,fixture_017_g_plus_one_raw_false_irreversible_final,passed,r2_t02_oracle_g_plus_one_raw_false_irreversible_final,9,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,07ba58e5a79736641ae64e713e632e55f287f86bb859602ade8a360ba0bfdf7d,8,2,2,2
gap_exceeds_g,regression_only,fixture_018_gap_exceeds_g,passed,r2_t02_oracle_gap_exceeds_g,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,3340a41f941ab426c76d20041c36edc2bb82e71e2f17f0cefa856a6813ff8811,8,2,2,2
transitive_a_b_c_merge,regression_only,fixture_019_transitive_a_b_c_merge,passed,r2_t02_oracle_transitive_a_b_c_merge,4,sample_end_open_zone,sample_end_open_zone,,c0be131a57f2d1a36e2351724a9fd31e94f1c9fe9f5036ea6eacf032073cbfd6,14,3,3,1
multiple_bridge_segments,regression_only,fixture_020_multiple_bridge_segments,passed,r2_t02_oracle_multiple_bridge_segments,4,sample_end_open_zone,sample_end_open_zone,,917895aca7b3c09d83c1edacb32f1242b4387199b0c0e5c8e4eb393ca6cee154,14,3,3,1
intervening_unqualified_interval_blocks_merge,regression_only,fixture_021_intervening_unqualified_interval_blocks_merge,passed,r2_t02_oracle_intervening_unqualified_interval_blocks_merge,4,unqualified_reentry_blocks_merge,unqualified_reentry_blocks_merge,,9daa3ad007065810c522f4d8c5edd9bfc85687ea533d21cf9b64855b029f03f6,9,2,1,1
quality_break,core_scientific_oracle,fixture_022_quality_break,passed,r2_t02_oracle_quality_break,8,quality_break,quality_break,,2e4efb988376e9042c02b8d572eb2c33f2a013cd83721e90db0508feb934f932,4,1,1,1
diagnostic_break,regression_only,fixture_023_diagnostic_break,passed,r2_t02_oracle_diagnostic_break,4,quality_break,quality_break,,c2e40caf26d5d8d04a74c86c62bcb62245d6a475e0cc2091b723ce656362bdd1,4,1,1,1
missing_row_break,regression_only,fixture_024_missing_row_break,passed,r2_t02_oracle_missing_row_break,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,d51a8add36d4d844e045c68d2ec9fe5e1e6abf8033a1faebc24ce3b7b372b836,1,0,0,0
gap_pending,regression_only,fixture_025_gap_pending,passed,r2_t02_oracle_gap_pending,4,sample_end_open_zone,sample_end_open_zone,,8e4f66cf0a07ede69b1c128a2710fe7e8e576a880e5516f493488cd98eae875e,12,3,3,3
reentry_reaches_d,regression_only,fixture_026_reentry_reaches_d,passed,r2_t02_oracle_reentry_reaches_d,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,1c2dc270521737f4a3ff3c3e606b7f6cd5806370c8cf9fe23dc2af84a844fc21,9,2,2,1
reentry_fails_d,core_scientific_oracle,fixture_027_reentry_fails_d,passed,r2_t02_oracle_reentry_fails_d,8,unqualified_reentry_blocks_merge,unqualified_reentry_blocks_merge,,ba6a4433af47f365e73693707a6ad90c73605a6b86e1be3435c47e61a0175349,9,2,1,1
right_censored_open_zone,regression_only,fixture_028_right_censored_open_zone,passed,r2_t02_oracle_right_censored_open_zone,4,sample_end_open_zone,sample_end_open_zone,,e1db048e6e4f91140ac68f80b263b14f4a63ecf5164846a1f3b905dbfcf0ee8a,4,1,1,1
irreversible_finalization,regression_only,fixture_029_irreversible_finalization,passed,r2_t02_oracle_irreversible_finalization,4,normal_short_interval_drop,normal_short_interval_drop,,2e37ecbbce37158b7b61eca550d9a7b9edfeead45f4a86a0fb3286a0cf834457,6,2,0,0
bridge_membership_delayed,core_scientific_oracle,fixture_030_bridge_membership_delayed,passed,r2_t02_oracle_bridge_membership_delayed,8,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,5470748e097bc15657cd51321ecb67843713092972cc8428e87d74f0a7acd6b9,9,2,2,1
event_id_stability,core_scientific_oracle,fixture_031_event_id_stability,passed,r2_t02_oracle_event_id_stability,7,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,8365e362e53a0b57e2dcae367f8efc8c96243ce4ba5635c49813e5e44a04d79f,9,2,2,1
candidate_cell_isolation,regression_only,fixture_032_candidate_cell_isolation,passed,r2_t02_oracle_candidate_cell_isolation,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,987506b00e5cb4a3dede5782ae6676cae3717dfc3b651e300411a7a0f0467217,4,1,1,1
security_isolation,regression_only,fixture_033_security_isolation,passed,r2_t02_oracle_security_isolation,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,0278707916150eab0f49ae3e3d5adcba4a0b8065213c96092b13c522facaa5e9,4,1,1,1
canonical_sorting,regression_only,fixture_034_canonical_sorting,passed,r2_t02_oracle_canonical_sorting,4,sample_end_open_zone,sample_end_open_zone,,5f9895ca0359d62fb34f5a9ffa06af1397b7b668f0069518c82b0b9910679d0c,12,3,3,3
confirmed_only_risk_set,core_scientific_oracle,fixture_035_confirmed_only_risk_set,passed,r2_t02_oracle_confirmed_only_risk_set,6,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,b474dc281cbeda3346933877c5a9e1844ec025d0849855ef61bfa8ff45508904,4,1,1,1
bridge_not_in_risk_set,core_scientific_oracle,fixture_036_bridge_not_in_risk_set,passed,r2_t02_oracle_bridge_not_in_risk_set,6,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,602dd7915072ea29c9bf4f0ea41c417cad1130c6c16a714ff2a5aa1765868476,9,2,2,1
zone_membership_not_in_risk_set,regression_only,fixture_037_zone_membership_not_in_risk_set,passed,r2_t02_oracle_zone_membership_not_in_risk_set,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,f3b6977a955363c8ce6315221b1d8c4feba23d10a77138125d5bfce37c8e390e,9,2,2,1
invalid_quality_contradiction,regression_only,fixture_038_invalid_quality_contradiction,passed,r2_t02_oracle_invalid_quality_contradiction,4,prequalification_right_censored,prequalification_right_censored,,a8f5b002c2ca8bf6db9d6f9b9acfa30bedabc2f8318aa6ef27f4a4a691f3b1fb,12,3,1,1
own_denominator,regression_only,fixture_039_own_denominator,passed,r2_t02_oracle_own_denominator,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,4b62334e1c1cc5123883c4f2b115a4835c5e03370223cb34a5144902b7e117ad,4,1,1,1
common_exact_intersection,regression_only,fixture_040_common_exact_intersection,passed,r2_t02_oracle_common_exact_intersection,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,bda5ba6a5df412bf0fac8e51af87729c1efef9916c1bd6564d43313daf96c3ca,4,1,1,1
cross_state_rejection,regression_only,fixture_041_cross_state_rejection,passed,r2_t02_oracle_cross_state_rejection,4,cross_state_rejected,cross_state_rejected,,382ff3467a374cd89a484f7da084012e2965bf3c31bf1bed24d7f56d9513d3c6,12,3,1,1
cross_role_rejection,regression_only,fixture_042_cross_role_rejection,passed,r2_t02_oracle_cross_role_rejection,4,cross_role_rejected,cross_role_rejected,,7a125fa7418ee6256e6ba3823a728afbb05ccabac6a4fa243b70986918301c98,9,3,0,0
gd_parameter_invariants,regression_only,fixture_043_gd_parameter_invariants,passed,r2_t02_oracle_gd_parameter_invariants,4,sample_end_open_zone,sample_end_open_zone,,cf61874df10da4d03a901aa88b56bb34f61ac5713ab921e73ce5ffb8099adb41,12,3,3,3
strict_core_subset,regression_only,fixture_044_strict_core_subset,passed,r2_t02_oracle_strict_core_subset,4,strict_core_subset_passed,strict_core_subset_passed,,1304a54955b60a621f6f8f89ef5c8536cd1e518d06992c8004009cf5894bb9eb,11,3,1,1
strict_core_violation,regression_only,fixture_045_strict_core_violation,passed,r2_t02_oracle_strict_core_violation,4,strict_core_subset_violation,strict_core_subset_violation,,34dd61de86d44d6e11726217c62593161d9420edc5c9957515110de443560a61,9,3,0,0
sidecar_mutation,regression_only,fixture_046_sidecar_mutation,passed,r2_t02_oracle_sidecar_mutation,4,sidecar_hash_mismatch,sidecar_hash_mismatch,,8926b4050e25a34bd40babe92f7b2c83cbbbba802b213d2b973deb30951e231e,12,3,3,3
contract_config_mutation,regression_only,fixture_047_contract_config_mutation,passed,r2_t02_oracle_contract_config_mutation,4,config_hash_mismatch,config_hash_mismatch,,fd117d4b9507072ebe26401bbae509fd5971d9195670b19acd47b7042ae371e9,12,3,1,1
input_chain_mutation,regression_only,fixture_048_input_chain_mutation,passed,r2_t02_oracle_input_chain_mutation,4,input_chain_hash_mismatch,input_chain_hash_mismatch,,5deaa44892ec48cb4a9d2d816498114aaddb214dcc17b9aed47a0fb72df6e775,9,3,0,0
forbidden_field_mutation,regression_only,fixture_049_forbidden_field_mutation,passed,r2_t02_oracle_forbidden_field_mutation,4,forbidden_output_field,forbidden_output_field,,453c2da9847512e598ff06de24dab7d6a2d4e5c8b1862b5d3dffe0781618a088,12,3,3,3
stale_reviewed_head,regression_only,fixture_050_stale_reviewed_head,passed,r2_t02_oracle_stale_reviewed_head,4,reviewed_head_mismatch,reviewed_head_mismatch,,6600075b0dfd0c7c4d2ebf3809f6e9349a7f693c0ad51db733cad37c66f19ba2,12,3,1,1
cross_pr_evidence,regression_only,fixture_051_cross_pr_evidence,passed,r2_t02_oracle_cross_pr_evidence,4,pull_request_identity_mismatch,pull_request_identity_mismatch,,09f520e1282f489b51a7727c0857abb310bb16ef2b5f1ebb632f7532971787d8,9,3,0,0
missing_heavy_test,regression_only,fixture_052_missing_heavy_test,passed,r2_t02_oracle_missing_heavy_test,4,heavy_tests_not_subset_of_full,heavy_tests_not_subset_of_full,,508b670c43b9a4bff7f7e99d653e541a4832b7e026e3d351493805e71c86d5ce,8,2,2,2
full_profile_substitution,regression_only,fixture_053_full_profile_substitution,passed,r2_t02_oracle_full_profile_substitution,4,full_collection_hash_mismatch,full_collection_hash_mismatch,,d3c068b4e463d12c710db3431edfb29d9c2ff937a34dbedc36da7ff1455da81d,12,3,1,1
double_rebuild_determinism,regression_only,fixture_054_double_rebuild_determinism,passed,r2_t02_oracle_double_rebuild_determinism,4,deterministic_rebuild_match,deterministic_rebuild_match,,1886cc4b59de43b4ddaf31d9e9df56704ada4aa93589ac81a15bb0e8b2631a24,9,3,0,0
contract_36_primary_36_sidecar_zero_scan,regression_only,fixture_055_contract_36_primary_36_sidecar_zero_scan,passed,r2_t02_oracle_contract_36_primary_36_sidecar_zero_scan,4,sample_end_open_zone,sample_end_open_zone,,992fc40a9385354fe5a0b610b2bb3fb6b38265a06fa115e6331c2ccf89a6ca94,12,3,3,3
