field_name,type,nullable,availability_class,available_time_source,allowed_at_T0,allowed_at_T1,allowed_at_T2,audit_only,forbidden_model_feature,source_artifact,derivation_rule
current_exit_membership_zone_revision,integer,True,post_event_audit,optional current membership row,False,False,False,True,True,r2_canonical_event_membership,record only when a current membership row is available
exit_attempt_date,string,False,as_of_T0,current expected row.trade_date,True,True,True,False,False,r2_canonical_daily_state,current row trade_date
exit_attempt_time,datetime,True,upstream_interface_required,not_exposed_by_current_r2_canonical_daily_interface,False,False,False,True,True,upstream_daily_available_time_interface,not generated by R3; missing_reason=UPSTREAM_DAILY_AVAILABLE_TIME_NOT_EXPOSED
exit_attempt_time_missing_reason,string,False,contract_metadata,R3-T01 contract,False,False,False,True,True,R3-T01 protocol registry,fixed upstream interface gap code
current_membership_row_present,boolean,False,post_event_audit,optional current membership join,False,False,False,True,True,r2_canonical_event_membership,audit-only presence flag; not a T0 predicate
current_membership_available_time,datetime,True,post_event_audit,optional current membership row,False,False,False,True,True,r2_canonical_event_membership,record for lifecycle reconciliation only
current_membership_availability_is_causal_for_t0,boolean,False,post_event_audit,R3-T01 contract,False,False,False,True,True,R3-T01 protocol registry,always false
membership_resolution_status,string,False,post_event_audit,optional current membership join,False,False,False,True,True,r2_canonical_event_membership,"current row availability status, not T0 eligibility"
prior_confirmed_state,boolean,False,as_of_T0,prior expected row,True,True,True,False,False,r2_canonical_daily_state,prior confirmed_state
exit_raw_state,boolean,False,as_of_T0,current expected row,True,True,True,False,False,r2_canonical_daily_state,current raw_state
exit_reason,string,False,as_of_T0,R2 transition registry replay,True,True,True,False,False,R2 transition registry,registered CONFIRMED_ACTIVE to CONFIRMED_EXITED transition
frozen_g,integer,False,as_of_T0,frozen state version contract,True,True,True,False,False,r2_t08_r3_handoff_manifest,exact state_version_id to frozen state version g mapping
event_status_as_of_exit,string,False,as_of_T0,current expected row event status,True,True,True,False,False,r2_canonical_daily_state,current row event_status_as_of
attempt_weight,number,False,contract_metadata,R3-T01 analysis-unit contract,True,True,True,False,False,R3-T01 analysis-unit contract,constant 1.0 for every primary exit attempt
final_component_count,integer,True,post_event_audit,event-zone final materialization,False,False,False,True,True,r2_canonical_event_zone,copy final component_interval_count after event finalization
final_attempt_count_in_event,integer,True,post_event_audit,full exit-attempt enumeration,False,False,False,True,True,R3-T01 exit-attempt registry,count all attempts after enumeration
event_balanced_weight,number,True,post_event_audit,full event attempt count,False,False,False,True,True,R3-T01 modeling sidecar,1 / final attempt count within event
resolution_status,string,True,post_event_audit,future path resolution,False,False,False,True,True,future R3 path contract,not generated by T01
future_path_class,string,True,post_path_outcome,future path observation,False,False,False,True,True,future R3 label contract,not generated by T01
future_boundary_hit,boolean,True,post_path_outcome,future empirical boundary contract,False,False,False,True,True,future R3 boundary contract,not generated by T01
contract_version,string,False,contract_metadata,committed R3 config,False,False,False,True,True,R3-T01 config,version binding
resolution_time,datetime,True,post_event_audit,future path resolution,False,False,False,True,True,future R3 path contract,not generated by T01
same_zone_requalified,boolean,True,post_event_audit,later event lifecycle,False,False,False,True,True,r2 canonical event membership,not generated by T01
same_zone_requalification_time,datetime,True,post_event_audit,later event lifecycle,False,False,False,True,True,r2 canonical event membership,not generated by T01
g_exceeded_time,datetime,True,post_event_audit,later event lifecycle,False,False,False,True,True,r2 canonical event zone,not generated by T01
future_overlap_final_result,string,True,post_event_audit,future window overlap audit,False,False,False,True,True,R3 future window audit,not generated by T01
