metric_id,entity_level,exact_numerator_or_aggregation,exact_denominator,deduplication_key,included_rows,excluded_rows,open_interval_policy,right_censor_policy,quality_break_policy,denominator_scope,parameter_response,hard_gate_usage,null_policy,availability_basis
natural_exit_count,atomic_interval,count intervals ending natural_state_exit,observed closed atomic intervals,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
quality_interruption_count,atomic_interval,count intervals ending quality_interruption,observed closed atomic intervals,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
right_censored_atomic_count,atomic_interval,count intervals ending sample_end_censoring,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
upstream_reconciliation_status,route,all upstream interval counts and hashes match,all checked upstream artifacts,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_component_count,component,count atomic intervals with confirmed_day_count>=d,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
unqualified_component_count,component,count normally closed intervals with confirmed_day_count<d,observed normally closed atomic intervals,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
component_qualification_rate,component,qualified_component_count,qualified_component_count plus unqualified_component_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_confirmed_day_count,component,sum confirmed days in qualified components,confirmed_state_days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
retained_confirmed_day_ratio,component,qualified_confirmed_day_count,confirmed_state_days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
short_interval_drop_rate,component,normally ended intervals with confirmed_day_count<d,all observed normally ended atomic intervals,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
prequalification_right_censored_count,component,right censored intervals below d,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
event_qualification_delay,component,available time difference from first to dth confirmed day,qualified_component_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_event_count,event_zone,count finalized or right censored qualified zones,security year route cell,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_event_coverage,event_zone,distinct eligible valid confirmed_state=true trade_date rows inside qualified event components,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
retrospective_qualified_confirmed_coverage,event_zone,confirmed days that are retrospective qualified component members,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
asof_qualified_confirmed_coverage,event_zone,confirmed days with component_qualified_as_of=true at evaluation time,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
zone_span_coverage,event_zone,event zone member trading days,eligible_days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
zone_span_days,event_zone,trading days from first component start to zone end,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_mean,event_zone,mean zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_median,event_zone,median zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q90,event_zone,q90 zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q95,event_zone,q95 zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q95_ratio,event_zone,duration_q95 divided by upstream atomic_duration_q95 using nearest order statistic q95,upstream atomic_duration_q95 for the same route_id and state_line,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridged_gap_count,event_zone,count accepted ordinary-false bridge segments,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridged_day_count,event_zone,sum ordinary-false bridged rows,event zone member rows,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridge_segment_count_distribution,event_zone,distribution of bridge_count by scan_event_id,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
component_count_distribution,event_zone,distribution of component_count by scan_event_id,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
max_single_gap,event_zone,max ordinary false rows in any accepted bridge segment,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridged_day_ratio,event_zone,bridged_day_count,zone_span_days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_density,event_zone,confirmed component member days divided by zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
zone_revision_count,event_zone,sum zone_revision across event zones,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
merge_ratio,event_zone,zones with component_count>1,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
open_event_count,event_zone,right censored open zones,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
open_event_ratio,event_zone,open_event_count,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
active_zone_count,event_zone,zones with status_as_of=QUALIFIED_ACTIVE,candidate cell evaluation date,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
