case_id,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
intervening_unqualified_interval_blocks_merge,fixture_018_intervening_unqualified_interval_blocks_merge,passed,r2_t02_oracle_intervening_unqualified_interval_blocks_merge,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
quality_break,fixture_019_quality_break,passed,r2_t02_oracle_quality_break,4,quality_break,sample_end_open_zone,,8da8f7c809705ac6a12225202411fefe037dabc6d2b3af776f2c93d843cb3929,7,2,2,2
diagnostic_break,fixture_020_diagnostic_break,passed,r2_t02_oracle_diagnostic_break,4,quality_break,quality_break,,80a97d9a983f2d7f8ab389edd507b418b8fcb2e5afe8218b39b22c8d061d8c70,7,2,1,1
missing_row_break,fixture_021_missing_row_break,passed,r2_t02_oracle_missing_row_break,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,921c4db380277d4fba8405c76a128e358efdefc31121c3ff33bb6a156066b59d,1,0,0,0
gap_pending,fixture_022_gap_pending,passed,r2_t02_oracle_gap_pending,4,sample_end_open_zone,sample_end_open_zone,,454a5713d237daca6976b4310ee21a1f6b34edc84776fff56f70c99dd636e91b,7,2,2,2
reentry_reaches_d,fixture_023_reentry_reaches_d,passed,r2_t02_oracle_reentry_reaches_d,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
reentry_fails_d,fixture_024_reentry_fails_d,passed,r2_t02_oracle_reentry_fails_d,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
right_censored_open_zone,fixture_025_right_censored_open_zone,passed,r2_t02_oracle_right_censored_open_zone,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
irreversible_finalization,fixture_026_irreversible_finalization,passed,r2_t02_oracle_irreversible_finalization,4,sample_end_open_zone,quality_break,,b5979bc79015c8f9835c804c2f584eee577c57863553cd233254af16407cfa6d,7,2,1,1
bridge_membership_delayed,fixture_027_bridge_membership_delayed,passed,r2_t02_oracle_bridge_membership_delayed,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
event_id_stability,fixture_028_event_id_stability,passed,r2_t02_oracle_event_id_stability,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
candidate_cell_isolation,fixture_029_candidate_cell_isolation,passed,r2_t02_oracle_candidate_cell_isolation,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
security_isolation,fixture_030_security_isolation,passed,r2_t02_oracle_security_isolation,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
canonical_sorting,fixture_031_canonical_sorting,passed,r2_t02_oracle_canonical_sorting,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
confirmed_only_risk_set,fixture_032_confirmed_only_risk_set,passed,r2_t02_oracle_confirmed_only_risk_set,5,sample_end_open_zone,gap_exceeds_g,,d6f096eaa30c4c15c2d3e72340c061405f1eaa99a3c8155dfc3245dab7179028,10,3,1,1
bridge_not_in_risk_set,fixture_033_bridge_not_in_risk_set,passed,r2_t02_oracle_bridge_not_in_risk_set,5,sample_end_open_zone,prequalification_right_censored,,671caa9b8f40a20b7887bfc75073d61925cc86e3a895b455bfe48bf269934931,6,2,0,0
zone_membership_not_in_risk_set,fixture_034_zone_membership_not_in_risk_set,passed,r2_t02_oracle_zone_membership_not_in_risk_set,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
invalid_quality_contradiction,fixture_035_invalid_quality_contradiction,passed,r2_t02_oracle_invalid_quality_contradiction,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
own_denominator,fixture_036_own_denominator,passed,r2_t02_oracle_own_denominator,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
common_exact_intersection,fixture_037_common_exact_intersection,passed,r2_t02_oracle_common_exact_intersection,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
cross_state_rejection,fixture_038_cross_state_rejection,passed,r2_t02_oracle_cross_state_rejection,4,cross_state_rejected,gap_exceeds_g,,8850626ba64c0891b7a5de6c771a607aa8965f17a4dbbeabb539c0479cfdb30f,10,3,1,1
cross_role_rejection,fixture_039_cross_role_rejection,passed,r2_t02_oracle_cross_role_rejection,4,cross_role_rejected,prequalification_right_censored,,04cdafb6b58ff1724c9304f7391af99c7d4ebd38614e8f213cdebd5d7990718c,6,2,0,0
gd_parameter_invariants,fixture_040_gd_parameter_invariants,passed,r2_t02_oracle_gd_parameter_invariants,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
strict_core_subset,fixture_041_strict_core_subset,passed,r2_t02_oracle_strict_core_subset,4,sample_end_open_zone,gap_exceeds_g,,76aefe4b1e929fdbb855261afb283d2b626ff04f3cd491fef8e2c1f63308e2ab,10,3,1,1
strict_core_violation,fixture_042_strict_core_violation,passed,r2_t02_oracle_strict_core_violation,4,strict_core_subset_violation,prequalification_right_censored,,c3b54a55c9e0bef1a47a9c387a31ba1e419223279f14e569629712d1f21eaa95,9,3,0,0
sidecar_mutation,fixture_043_sidecar_mutation,passed,r2_t02_oracle_sidecar_mutation,4,sidecar_hash_mismatch,sample_end_open_zone,,6a7ec44ce1b2a0d109af831913315604a497429c313db28db14eb3bd69bb7183,10,3,3,3
contract_config_mutation,fixture_044_contract_config_mutation,passed,r2_t02_oracle_contract_config_mutation,4,config_hash_mismatch,quality_break,,3ea1781fe69fb8161a11a5b6b142e312bef8cb1b5feb55599a52894070160ff4,7,2,1,1
input_chain_mutation,fixture_045_input_chain_mutation,passed,r2_t02_oracle_input_chain_mutation,4,input_chain_hash_mismatch,prequalification_right_censored,,6ad0c78bbd810fac9fe8383682db27c8929418c25724fd8ca3710a0c47768970,9,3,0,0
forbidden_field_mutation,fixture_046_forbidden_field_mutation,passed,r2_t02_oracle_forbidden_field_mutation,4,forbidden_output_field,sample_end_open_zone,,dc11ca6c0b27080a65302df89104ad58989e16a883266af74be0dfc994572e4d,10,3,3,3
double_rebuild_determinism,fixture_047_double_rebuild_determinism,passed,r2_t02_oracle_double_rebuild_determinism,4,deterministic_rebuild_match,gap_exceeds_g,,66e3e899aa79f4457bcea71383a28e5c255c414e9eeb5973a642b5f5718cf6ca,10,3,1,1
contract_36_primary_36_sidecar_zero_scan,fixture_048_contract_36_primary_36_sidecar_zero_scan,passed,r2_t02_oracle_contract_36_primary_36_sidecar_zero_scan,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
