metric_id,entity_level,numerator,denominator,deduplication_key,included_rows,excluded_rows,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy
events_per_year,route_cell,events_per_year numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
nonzero_years,route_cell,nonzero_years numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
max_year_share,route_cell,max_year_share numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
events_per_security_mean,route_cell,events_per_security_mean numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
events_per_security_median,route_cell,events_per_security_median numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
events_per_security_q90,route_cell,events_per_security_q90 numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
within_route_overlapping_event_count,route_cell,within_route_overlapping_event_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
intersection_confirmed_days,route_cell,intersection_confirmed_days numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
W120_only_confirmed_days,route_cell,W120_only_confirmed_days numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
W250_only_confirmed_days,route_cell,W250_only_confirmed_days numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
confirmed_day_jaccard,route_cell,confirmed_day_jaccard numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
matched_event_count,route_cell,matched_event_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
overlapping_event_count,route_cell,overlapping_event_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
