case_id,case_name,status,assertion_count,passed_assertion_count,fixture_sha256,assertion_ledger_sha256,assertion_ledger
S15,failed_interval_finalizes,passed,3,3,503bb312074458d190e7944aba6654dccd32e7500a1de218ccc92f2fed848e8b,6d2c96d3f060ffff4a718f3bd4672eba8b2265525000f2d132e33542af05f69a,"[{""assertion_id"": ""failed_interval_status"", ""expected"": ""closed"", ""observed"": ""closed"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""failed_interval_reason"", ""expected"": ""intervening_interval_failed_d"", ""observed"": ""intervening_interval_failed_d"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""failed_interval_time"", ""expected"": ""2026-01-05T18:00:00+08:00"", ""observed"": ""2026-01-05T18:00:00+08:00"", ""operator"": ""equals"", ""passed"": true}]"
S16,open_interval,passed,3,3,4957c6763743b0966bb7607c6505389a49d39e8aa8df31b0894b3a432e940810,7bd546ca1a7ab6ced99ab2bd7503fdd06404f3aa56938d2eaf45f17cc38faf13,"[{""assertion_id"": ""open_status"", ""expected"": ""open"", ""observed"": ""open"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""open_finalization"", ""expected"": null, ""observed"": null, ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""open_reason"", ""expected"": ""sample_end_within_gap_tolerance"", ""observed"": ""sample_end_within_gap_tolerance"", ""operator"": ""equals"", ""passed"": true}]"
S17,open_duration_excluded,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,432a9c8e7c7c57d0754a1d02c78910fc94d4f09c5b1525663363c92d6d3e6dc4,"[{""assertion_id"": ""open_excluded_from_duration"", ""expected"": null, ""observed"": null, ""operator"": ""equals"", ""passed"": true}]"
S18,security_isolation,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,f0b0fa2cbe8a7368c7f0f8919a1c4ffc5b72fcd3845d4124d433179995c8b876,"[{""assertion_id"": ""separate_security_intervals"", ""expected"": 4, ""observed"": 4, ""operator"": ""equals"", ""passed"": true}]"
S19,canonical_sort,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,6a967e70c459682acd9b0a87469eefa612932d79a2be11ce077aab8d68024fbe,"[{""assertion_id"": ""sort_stable"", ""expected"": [{""available_time"": ""2026-01-01T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 1, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-01""}, {""available_time"": ""2026-01-02T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 2, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-02""}, {""available_time"": ""2026-01-03T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 3, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-03""}, {""available_time"": ""2026-01-04T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 4, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-04""}, {""available_time"": ""2026-01-05T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 5, ""quality_state"": ""valid"", ""raw_state"": false, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-05""}, {""available_time"": ""2026-01-06T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 6, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-06""}, {""available_time"": ""2026-01-07T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 7, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-07""}, {""available_time"": ""2026-01-08T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 8, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-08""}, {""available_time"": ""2026-01-09T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 9, ""quality_state"": ""valid"", ""raw_state"": false, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-09""}], ""observed"": [{""available_time"": ""2026-01-01T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 1, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-01""}, {""available_time"": ""2026-01-02T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 2, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-02""}, {""available_time"": ""2026-01-03T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 3, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-03""}, {""available_time"": ""2026-01-04T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 4, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-04""}, {""available_time"": ""2026-01-05T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 5, ""quality_state"": ""valid"", ""raw_state"": false, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-05""}, {""available_time"": ""2026-01-06T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 6, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-06""}, {""available_time"": ""2026-01-07T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 7, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-07""}, {""available_time"": ""2026-01-08T18:00:00+08:00"", ""confirmed_state"": true, ""eligible"": true, ""expected_trade_index"": 8, ""quality_state"": ""valid"", ""raw_state"": true, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-08""}, {""available_time"": ""2026-01-09T18:00:00+08:00"", ""confirmed_state"": false, ""eligible"": true, ""expected_trade_index"": 9, ""quality_state"": ""valid"", ""raw_state"": false, ""route_id"": ""r"", ""security_id"": ""s"", ""trade_date"": ""2026-01-09""}], ""operator"": ""equals"", ""passed"": true}]"
S20,duplicate_key_fail_closed,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,86d3cb7d0c92114366e96edc862f998b1210ce0fbc68cf68cb3dbadc028ceb95,"[{""assertion_id"": ""duplicate_error"", ""expected"": ""duplicate_primary_key"", ""observed"": ""duplicate_primary_key"", ""operator"": ""equals"", ""passed"": true}]"
S21,own_denominator,passed,1,1,436ef83d0a24fbf4e38b6243d1c4c086825ad1792bbd31897753a88e418c34cb,9d8940a94e7416006500b02caf83af6233f2f1f9e4bf90e6278cab64a6dd52cd,"[{""assertion_id"": ""own_denominator"", ""expected"": 2, ""observed"": 2, ""operator"": ""equals"", ""passed"": true}]"
S22,common_exact_intersection,passed,1,1,4810558f8e7eb12f81a882a0f21ac6f85bbb988e4d88f82f1b88a29131961b92,b7c85da325a910ebb7f6ab74e2f6a9ea67a5af4f8ad10705ca71e2907e2e2a68,"[{""assertion_id"": ""common_exact_intersection"", ""expected"": [[""s"", ""2""]], ""observed"": [[""s"", ""2""]], ""operator"": ""equals"", ""passed"": true}]"
S23,cross_state_common_forbidden,passed,1,1,a88bdbcc90f050386163d9fc9db168ab1185db039d566f24f3482f278ec73c7c,ee1a3807b65b71cc44374b3713a6e43d55b07b2b0d8f221ebc5d2d927345f02f,"[{""assertion_id"": ""cross_state_common_forbidden"", ""expected"": ""common_denominator_cross_state_line"", ""observed"": ""common_denominator_cross_state_line"", ""operator"": ""equals"", ""passed"": true}]"
S24,coverage_g_invariant,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,84247228ea3855e72c53d57ba97791d645dcf5cdd1e77f2bc958af68160167f5,"[{""assertion_id"": ""coverage_g_invariant"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S25,zone_coverage_g_monotone,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,58e4fbbc33af5b0f54356bf4736d2eeae9a884511c2ecc31ae5d8fc99df57428,"[{""assertion_id"": ""zone_coverage_g_monotone"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S26,event_count_g_monotone,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,7b81a811691b4174e2cc87d495e740c7ee531cbb12ebe0d19034b03808c6c255,"[{""assertion_id"": ""event_count_g_monotone"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S27,drop_d_monotone,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,5627c9ea77ddea8d426632514d429cd0a509c0995ebede84c2661c1ec542482a,"[{""assertion_id"": ""drops_monotone"", ""expected"": [0, 1, 2], ""observed"": [0, 1, 2], ""operator"": ""equals"", ""passed"": true}]"
S28,strict_core_subset,passed,1,1,cc27541c19bd8cce7b8bc1010593c05cffcc0631eb095ebace10eb6253593190,37390eae021d6c8b96427deabf27eb387721cc8364f8c2e1de4b3595c3586bb0,"[{""assertion_id"": ""strict_core_subset"", ""expected"": ""passed"", ""observed"": ""passed"", ""operator"": ""equals"", ""passed"": true}]"
S29,strict_core_violation,passed,1,1,76b783a27a401e9cd917c011b5d50abe1449831a9c0c80ed3dfd248b4a3362ae,16cb94f69d34cfb521705ddeb41f49b311bf811793fa207d32ef1148e7109af3,"[{""assertion_id"": ""strict_core_violation"", ""expected"": ""failed"", ""observed"": ""failed"", ""operator"": ""equals"", ""passed"": true}]"
S30,bridge_not_risk,passed,2,2,7c7e25279287c61844b5f1631a1263df786867a788fa21e47ed4262d4facfc04,fa13baaf07e0bd96fee3224c1c749a5c003c316af1344e39a540594f9c7462f2,"[{""assertion_id"": ""bridge_not_risk"", ""expected"": ""passed"", ""observed"": ""passed"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""invalid_quality_confirmed_fails"", ""expected"": ""failed"", ""observed"": ""failed"", ""operator"": ""equals"", ""passed"": true}]"
S31,unqualified_confirmed_is_risk,passed,1,1,74017d5fc19707cf572caca2c0ff4a583fee9c4499c6281e554b6d564849c2f7,765a81d5ff87ca412c9277e7c267ea796c558a0b05b75631be6786ab0f03f17c,"[{""assertion_id"": ""unqualified_confirmed_is_risk"", ""expected"": ""passed"", ""observed"": ""passed"", ""operator"": ""equals"", ""passed"": true}]"
S32,zone_does_not_expand_risk,passed,1,1,620bfe0893f47eb49e40edbde62fa9c10c0b247c4a953fbcd93ea0d4ce602b9e,59e77dc3d7cfb1e2d5efbe9f0eee0b9908089953c23e078c70f7a11920987102,"[{""assertion_id"": ""zone_does_not_expand_risk"", ""expected"": ""passed"", ""observed"": ""passed"", ""operator"": ""equals"", ""passed"": true}]"
S33,sidecar_mutation_detected,passed,1,1,514699477c8834ad8801bc21805beaa5800969582205bede1defb9a95e171a11,b2f2708bae8ca917f26b9f909afeb018b28356f4a7406902dfd88e74e883bd10,"[{""assertion_id"": ""sidecar_mutation_detected"", ""expected"": ""committed_artifact_mismatch:sidecar.json"", ""observed"": ""committed_artifact_mismatch:sidecar.json"", ""operator"": ""equals"", ""passed"": true}]"
S34,contract_hash_mutation_detected,passed,1,1,d3ed172230ab7036f0eca5bb069c7c227ea100dfddb2051199581965158635fb,94254bbb5f86efed0ebad90c2a88a91a3dcaaa7a3185cb4ae4c6365ea673dd73,"[{""assertion_id"": ""contract_hash_mutation_detected"", ""expected"": ""committed_artifact_mismatch:contract.json"", ""observed"": ""committed_artifact_mismatch:contract.json"", ""operator"": ""equals"", ""passed"": true}]"
S35,input_chain_mutation_detected,passed,1,1,2b57725cf9eea1955bc66d3f2495e09005f72847f15305146f5fa3f8388df270,fa068fdd2f469466c247f9238b562d9edd7b00c12970f09cca3c99e5b2b09fe9,"[{""assertion_id"": ""input_chain_mutation_detected"", ""expected"": ""input_chain_hash_mismatch:upstream_package"", ""observed"": ""input_chain_hash_mismatch:upstream_package"", ""operator"": ""equals"", ""passed"": true}]"
S36,forbidden_field_detected,passed,1,1,0178aa5016196a26deb2b6ebacb8bf870534556849a69d3f51188faaf2daf241,258306d79f8133387bea9219decb34594a26e732317d0474b5e52d9778f02276,"[{""assertion_id"": ""forbidden_field_detected"", ""expected"": ""forbidden_output_field:payload.json:future_return"", ""observed"": ""forbidden_output_field:payload.json:future_return"", ""operator"": ""equals"", ""passed"": true}]"
S37,double_rebuild_hash_equal,passed,1,1,79c19703c6896e3e143b67e38a1639972f7b990cd9186ecf0b893e78c3440541,ac08ca480c4236ea963c66b910131bd6ffc846bdbd3261d60c7b5ee2e1bb73bc,"[{""assertion_id"": ""double_rebuild_hash_equal"", ""expected"": ""79c19703c6896e3e143b67e38a1639972f7b990cd9186ecf0b893e78c3440541"", ""observed"": ""79c19703c6896e3e143b67e38a1639972f7b990cd9186ecf0b893e78c3440541"", ""operator"": ""equals"", ""passed"": true}]"
S38,daily_confirmation_transition,passed,1,1,2957dc559a45d33430b7c56afee0fae6929a85b0fd7106c3d000bd9fbe3089f7,ab675a0f0320f351177e3e14bb9646c596c4d92903bf584ed04ac357386c89d2,"[{""assertion_id"": ""daily_confirmation_transition"", ""expected"": [""CONFIRMED_ACTIVE""], ""observed"": [""CONFIRMED_ACTIVE""], ""operator"": ""equals"", ""passed"": true}]"
S39,daily_natural_exit_transition,passed,1,1,441df6216792865e67671fbe99e962c1de3e5fc7fa3224f43684415d610830e3,85f5dd7ea2e8df50e7458d0d674c8639daf08abedadecb3db1df3e6fe3a822dc,"[{""assertion_id"": ""daily_natural_exit_transition"", ""expected"": [""CONFIRMED_EXITED""], ""observed"": [""CONFIRMED_EXITED""], ""operator"": ""equals"", ""passed"": true}]"
S40,daily_quality_exit_transition,passed,1,1,7ef56054b4c2f87da899fda767aa2b166ab446487488092a6f633d1d71b1a796,1a90ca17d340691dce3a1387a9132d590ab519cb46c98cf8c6014fe9162f5ae8,"[{""assertion_id"": ""daily_quality_exit_transition"", ""expected"": [""CONFIRMED_EXITED""], ""observed"": [""CONFIRMED_EXITED""], ""operator"": ""equals"", ""passed"": true}]"
S41,component_qualification_transition,passed,1,1,67370945b67d64748a026d6b6b8abbc7777d8cac4be253e0edde92e534079d95,41cac1f5de70ac5df2f9807d75d10a58e451453d430bd4b590971c3c9fd44fce,"[{""assertion_id"": ""component_qualification_transition"", ""expected"": [""QUALIFIED_ACTIVE""], ""observed"": [""QUALIFIED_ACTIVE""], ""operator"": ""equals"", ""passed"": true}]"
S42,component_unqualified_close_transition,passed,1,1,eb83b7b7de373a16c390cc629d29136bdf6ba337c0b080a5bf8bc09a03d02c0b,2a93e4cbbd302d8a6eb29a90caf37fe0f2366036c7ea0180f9d11411956e67c9,"[{""assertion_id"": ""component_unqualified_close_transition"", ""expected"": [""UNQUALIFIED_CLOSED""], ""observed"": [""UNQUALIFIED_CLOSED""], ""operator"": ""equals"", ""passed"": true}]"
S43,component_prequalification_censor_transition,passed,1,1,903408151458e485ae26d07016249a2d89b6d28777519b0a2695805e7d97b584,b5f7ac3057b6d198d99322094809867387c8cb59dc0cbb99dcf4b86936d46bb7,"[{""assertion_id"": ""component_prequalification_censor_transition"", ""expected"": [""RIGHT_CENSORED""], ""observed"": [""RIGHT_CENSORED""], ""operator"": ""equals"", ""passed"": true}]"
S44,zone_gap_pending_transition,passed,1,1,e7d7fa975ec86e278a7d12d52dbb22a57cb35822116c49319d8fcbef22cc63b8,1a9bb3742f5ba35b3bb7b956cdbaca23b3fed2396548602a16003ee1617569a6,"[{""assertion_id"": ""zone_gap_pending_transition"", ""expected"": [""GAP_PENDING""], ""observed"": [""GAP_PENDING""], ""operator"": ""equals"", ""passed"": true}]"
S45,zone_gap_finalization_transition,passed,1,1,ac9326f959b559035077f1f7e03298255204c05fee088cbeea93b1c343142db0,e6ae878de73d61572dd78f2ba02727769e4db4586f38bf9ee9b7168af9e19ca8,"[{""assertion_id"": ""zone_gap_finalization_transition"", ""expected"": [""FINALIZED""], ""observed"": [""FINALIZED""], ""operator"": ""equals"", ""passed"": true}]"
S46,zone_quality_finalization_transition,passed,1,1,f3cb1ce61e6c68b60b4652bc61f6b00f26456756ea607f010acc12eeae1034f0,2de22ae4dda15b9d3b89e60b7ed0835ef8a2897c0c4465cf9d5c3e0532bc1617,"[{""assertion_id"": ""zone_quality_finalization_transition"", ""expected"": [""FINALIZED_WITH_QUALITY_BREAK""], ""observed"": [""FINALIZED_WITH_QUALITY_BREAK""], ""operator"": ""equals"", ""passed"": true}]"
S47,zone_reentry_pending_transition,passed,1,1,39880091a192ea42a716e987bac1082f42b92b29a2ec15eae055bc380f68ff5c,17a8fee191749334888a0eacaa57b158de74f72d8b2e6356e6bf879bd6de6d00,"[{""assertion_id"": ""zone_reentry_pending_transition"", ""expected"": [""REENTRY_PENDING_QUALIFICATION""], ""observed"": [""REENTRY_PENDING_QUALIFICATION""], ""operator"": ""equals"", ""passed"": true}]"
S48,zone_gap_censor_transition,passed,1,1,cba46222db330d767544813ecfd37033cb86c0254c7638d6d5af63fef84339bd,471a276b7170e82ba4ca989d1838c18e636b5a3d15b804c0de40720136b77233,"[{""assertion_id"": ""zone_gap_censor_transition"", ""expected"": [""RIGHT_CENSORED""], ""observed"": [""RIGHT_CENSORED""], ""operator"": ""equals"", ""passed"": true}]"
S49,zone_reentry_qualification_transition,passed,1,1,382b0bf989b0b4568171f601ed4b7e3d8ff393442a0e6ce2a31157d5a0e4a86f,4686e36804c920d23cff6509f69d5c8c649eb8ffb3062a3446a2d0db35e28b32,"[{""assertion_id"": ""zone_reentry_qualification_transition"", ""expected"": [""QUALIFIED_ACTIVE""], ""observed"": [""QUALIFIED_ACTIVE""], ""operator"": ""equals"", ""passed"": true}]"
S50,zone_reentry_failure_transition,passed,1,1,20b5a9d3e6ba8aeeb98c735abacb9ce0cb4f47d40f06194fed5c6aae5a5f3fac,c95f7d65d39475e7034d5dc1bdc63fbe38ecd0a8a56d5ee88d64c792cd0d22b8,"[{""assertion_id"": ""zone_reentry_failure_transition"", ""expected"": [""FINALIZED""], ""observed"": [""FINALIZED""], ""operator"": ""equals"", ""passed"": true}]"
S51,zone_reentry_quality_break_transition,passed,1,1,2200f158c14b529bc0a9356ad1516137e33a291c22cde769bc52c318f3f98d33,b271d78f324480eebab2591a1fce780e0bbd3e02ab306294dab82f84a036a274,"[{""assertion_id"": ""zone_reentry_quality_break_transition"", ""expected"": [""FINALIZED_WITH_QUALITY_BREAK""], ""observed"": [""FINALIZED_WITH_QUALITY_BREAK""], ""operator"": ""equals"", ""passed"": true}]"
S52,zone_reentry_censor_transition,passed,1,1,55052f75f07c5a5436cc7d8502a1b673ea52779ee4a322571d7ed3b841dafb57,96fb2e42c9410a63f7875d42876ea93bfed0b1e6f4b66ab0bfb23bb93decbd95,"[{""assertion_id"": ""zone_reentry_censor_transition"", ""expected"": [""RIGHT_CENSORED""], ""observed"": [""RIGHT_CENSORED""], ""operator"": ""equals"", ""passed"": true}]"
S53,t03_exact_72_cell_boundary,passed,1,1,b75a95be220ead99cab135a9f9f66d000eb692be748cdb04dafb502c0e9feca4,fafe6fcd5854d519e7443d77d97838696cb4e9c225690bb909ffe0526d0c376b,"[{""assertion_id"": ""t03_exact_72_cell_boundary"", ""expected"": {""cell_count"": 72, ""executed_count"": 0, ""fallback_count"": 36, ""primary_count"": 36}, ""observed"": {""cell_count"": 72, ""executed_count"": 0, ""fallback_count"": 36, ""primary_count"": 36}, ""operator"": ""equals"", ""passed"": true}]"
