metric_id,implementation_stage,entity_level,exact_numerator_or_aggregation,exact_denominator,deduplication_key,entity_primary_key,censor_population,included_rows,excluded_rows,open_interval_policy,right_censor_policy,quality_break_policy,denominator_scope,parameter_response,hard_gate_usage,evaluator_id,null_policy,availability_basis
upstream_reconciliation_status,r2_t03_runtime_required,route,all upstream interval counts and hashes match,all checked upstream artifacts,"route_id,candidate_cell_id","route_id,candidate_cell_id",registered route candidate cells only,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__upstream_reconciliation_status,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_component_count,r2_t03_runtime_required,component,count atomic intervals with confirmed_day_count>=d,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__qualified_component_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
unqualified_component_count,r2_t03_runtime_required,component,count normally closed intervals with confirmed_day_count<d,observed normally closed atomic intervals,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__unqualified_component_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
component_qualification_rate,r2_t03_runtime_required,component,qualified_component_count,qualified_component_count plus unqualified_component_count,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__component_qualification_rate,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_confirmed_day_count,r2_t03_runtime_required,component,sum confirmed days in qualified components,confirmed_state_days,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__qualified_confirmed_day_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
retained_confirmed_day_ratio,r2_t02_reference_executable,component,qualified_confirmed_day_count,confirmed_state_days,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,r2_t02_metric_eval__retained_confirmed_day_ratio,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
short_interval_drop_rate,r2_t02_reference_executable,component,normally ended intervals with confirmed_day_count<d,all observed normally ended atomic intervals,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,r2_t02_metric_eval__short_interval_drop_rate,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
prequalification_right_censored_count,r2_t03_runtime_required,component,right censored intervals below d,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__prequalification_right_censored_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
event_qualification_delay,r2_t03_runtime_required,component,available time difference from first to dth confirmed day,qualified_component_count,"route_id,candidate_cell_id,security_id,component_id,d","route_id,candidate_cell_id,security_id,component_id,d",atomic intervals partitioned by d qualification and censor status,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__event_qualification_delay,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
qualified_event_count,r2_t02_reference_executable,event_zone,count finalized or right censored qualified zones,security year route cell,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,r2_t02_metric_eval__qualified_event_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_event_coverage,r2_t03_runtime_required,event_zone,distinct eligible valid confirmed_state=true trade_date rows inside qualified event components,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__confirmed_event_coverage,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
retrospective_qualified_confirmed_coverage,r2_t03_runtime_required,event_zone,confirmed days that are retrospective qualified component members,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__retrospective_qualified_confirmed_coverage,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
asof_qualified_confirmed_coverage,r2_t03_runtime_required,event_zone,confirmed days with component_qualified_as_of=true at evaluation time,eligible valid daily rows in the same candidate cell,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__asof_qualified_confirmed_coverage,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
zone_span_coverage,r2_t03_runtime_required,event_zone,event zone member trading days,eligible_days,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__zone_span_coverage,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
zone_span_days,r2_t03_runtime_required,event_zone,trading days from first component start to zone end,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__zone_span_days,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_mean,r2_t03_runtime_required,event_zone,mean zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__duration_mean,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_median,r2_t03_runtime_required,event_zone,median zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__duration_median,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q90,r2_t03_runtime_required,event_zone,q90 zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__duration_q90,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q95,r2_t03_runtime_required,event_zone,q95 zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,r2_t02_metric_eval__duration_q95,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
duration_q95_ratio,r2_t02_reference_executable,event_zone,duration_q95 divided by upstream atomic_duration_q95 using nearest order statistic q95,upstream atomic_duration_q95 for the same route_id and state_line,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,r2_t02_metric_eval__duration_q95_ratio,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridged_gap_count,r2_t03_runtime_required,event_zone,count accepted ordinary-false bridge segments,qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__bridged_gap_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
bridged_day_count,r2_t03_runtime_required,event_zone,sum raw_state=false rows accepted into successful merged gap segments,zone_span_days,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__bridged_day_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
raw_false_bridged_day_count,r2_t03_runtime_required,event_zone,sum raw_state=false rows accepted into successful merged gap segments,zone_span_days,"route_id,candidate_cell_id,security_id,scan_event_id,d,g","route_id,candidate_cell_id,security_id,scan_event_id,d,g",qualified zones plus explicit right-censored open zones,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__raw_false_bridged_day_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
